date	reported	nowcast_med	nowcast_lwr	nowcast_upr
2021-11-05	2895	12837	10543	15730
2021-11-04	4477	11160	9685	13023
2021-11-03	5255	9269	8351	10457
2021-11-02	5435	7797	7272	8467
2021-11-01	5380	6871.5	6531	7287
2021-10-31	4641	5642	5412	5936
2021-10-30	4554	5299	5127	5514
2021-10-29	5009	5616	5474	5800
2021-10-28	4945	5387	5281	5525
2021-10-27	5454	5784	5702	5889
2021-10-26	5611	5856	5793	5940
2021-10-25	5578	5753	5707	5814
2021-10-24	4447	4561	4526	4604
2021-10-23	4429	4515	4488	4551
2021-10-22	4334	4404	4380	4435
2021-10-21	4055	4106	4086	4132
2021-10-20	4477	4518	4500	4543
2021-10-19	4254	4285	4270	4306
2021-10-18	4433	4458	4445	4477
2021-10-17	3220	3220	3220	3220
2021-10-16	3208	3208	3208	3208
2021-10-15	3129	3129	3129	3129
2021-10-14	2670	2670	2670	2670
2021-10-13	2912	2912	2912	2912
2021-10-12	2714	2714	2714	2714
2021-10-11	2730	2730	2730	2730
2021-10-10	2111	2111	2111	2111
2021-10-09	2035	2035	2035	2035
2021-10-08	1990	1990	1990	1990
2021-10-07	1838	1838	1838	1838
2021-10-06	2010	2010	2010	2010
2021-10-05	2063	2063	2063	2063
2021-10-04	2131	2131	2131	2131
2021-10-03	1710	1710	1710	1710
2021-10-02	1706	1706	1706	1706
2021-10-01	1764	1764	1764	1764
2021-09-30	1665	1665	1665	1665
2021-09-29	1862	1862	1862	1862
2021-09-28	1972	1972	1972	1972
2021-09-27	2090	2090	2090	2090
2021-09-26	1660	1660	1660	1660
2021-09-25	1606	1606	1606	1606
2021-09-24	1732	1732	1732	1732
2021-09-23	1703	1703	1703	1703
2021-09-22	1778	1778	1778	1778
2021-09-21	1713	1713	1713	1713
2021-09-20	1860	1860	1860	1860
2021-09-19	1495	1495	1495	1495
2021-09-18	1433	1433	1433	1433
2021-09-17	1525	1525	1525	1525
2021-09-16	1570	1570	1570	1570
2021-09-15	1816	1816	1816	1816
2021-09-14	1922	1922	1922	1922
2021-09-13	1829	1829	1829	1829
2021-09-12	1638	1638	1638	1638
2021-09-11	1603	1603	1603	1603
2021-09-10	1753	1753	1753	1753
2021-09-09	1669	1669	1669	1669
2021-09-08	1918	1918	1918	1918
2021-09-07	1928	1928	1928	1928
2021-09-06	1930	1930	1930	1930
2021-09-05	1652	1652	1652	1652
2021-09-04	1633	1633	1633	1633
2021-09-03	1642	1642	1642	1642
2021-09-02	1618	1618	1618	1618
2021-09-01	1742	1742	1742	1742
2021-08-31	1681	1681	1681	1681
2021-08-30	1818	1818	1818	1818
2021-08-29	1460	1460	1460	1460
2021-08-28	1462	1462	1462	1462
2021-08-27	1480	1480	1480	1480
2021-08-26	1350	1350	1350	1350
