date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr
2021-10-27;alle;8;71,1;55,1;95,7;470;904,4;837,4;994,8
2021-10-27;ja;3;28,5;21,8;38,5;282;544,9;503,8;600,6
2021-10-27;nein;5;42,6;32,8;57,8;188;359,5;331,9;397,7
2021-10-26;alle;54;199,0;169,0;240,3;557;954,1;896,6;1030,9
2021-10-26;ja;36;134,3;113,4;162,9;334;587,1;549,3;638,2
2021-10-26;nein;18;64,7;54,9;78,2;223;367,0;345,6;394,9
2021-10-25;alle;94;175,9;161,6;194,7;615;893,5;858,1;941,3
2021-10-25;ja;59;111,0;101,7;123,3;347;514,2;491,9;544,0
2021-10-25;nein;35;65,0;59,6;71,9;268;379,3;364,6;398,7
2021-10-24;alle;69;104,8;98,5;113,1;618;829,8;804,2;864,6
2021-10-24;ja;39;59,5;55,8;64,5;336;459,3;443,3;480,8
2021-10-24;nein;30;45,2;42,5;48,8;282;370,5;359,3;385,6
2021-10-23;alle;64;93,6;88,4;100,2;631;818,6;795,9;849,2
2021-10-23;ja;38;56,0;52,8;60,1;343;452,6;438,3;471,7
2021-10-23;nein;26;37,6;35,5;40,2;288;366,0;356,0;379,1
2021-10-22;alle;95;141,3;134,0;150,9;631;799,1;779,0;826,3
2021-10-22;ja;57;85,8;81,0;92,1;343;441,0;428,2;458,2
2021-10-22;nein;38;55,6;52,7;59,3;288;358,2;349,3;370,0
2021-10-21;alle;86;118,6;113,6;125,5;610;745,9;729,8;767,8
2021-10-21;ja;50;69,8;66,7;74,2;332;410,4;400,5;424,1
2021-10-21;nein;36;48,8;46,8;51,6;278;335,5;328,2;345,2
2021-10-20;alle;95;120,8;116,9;126,1;611;728,5;714,6;747,4
2021-10-20;ja;55;70,7;68,2;74,0;331;398,1;389,6;409,9
2021-10-20;nein;40;50,1;48,5;52,3;280;330,4;323,9;339,0
2021-10-19;alle;112;138,5;134,5;143,6;606;708,6;696,4;725,0
2021-10-19;ja;49;61,4;59,4;64,0;327;384,9;377,5;395,0
2021-10-19;nein;63;77,0;74,8;79,9;279;323,7;317,9;331,5
2021-10-18;alle;97;112,3;110,0;115,1;577;662,3;651,9;676,2
2021-10-18;ja;48;56,1;54,8;57,7;324;374,7;368,1;383,7
2021-10-18;nein;49;56,2;55,1;57,6;253;287,6;283,0;293,6
2021-10-17;alle;82;93,5;91,7;96,0;566;642,3;633,0;655,0
2021-10-17;ja;46;52,9;51,7;54,4;330;376,7;370,6;385,1
2021-10-17;nein;36;40,7;39,9;41,7;236;265,6;261,7;271,0
2021-10-16;alle;64;74,1;72,5;76,3;535;602,9;594,4;614,5
2021-10-16;ja;38;44,3;43,3;45,8;316;357,8;352,3;365,5
2021-10-16;nein;26;29,8;29,1;30,6;219;245,1;241,6;249,9
2021-10-15;alle;74;88,2;86,0;91,1;534;596,0;588,2;606,9
2021-10-15;ja;46;55,3;53,8;57,3;312;349,7;344,8;356,7
2021-10-15;nein;28;32,9;32,1;34,0;222;246,3;242,9;250,8
2021-10-14;alle;87;101,1;99,0;104,1;538;591,7;584,8;601,6
2021-10-14;ja;49;57,4;56,1;59,3;308;339,6;335,4;345,5
2021-10-14;nein;38;43,7;42,8;45,0;230;252,2;249,1;256,4
2021-10-13;alle;90;101,0;99,3;103,2;515;558,5;552,8;566,8
2021-10-13;ja;51;57,5;56,5;58,9;292;317,1;313,7;321,9
2021-10-13;nein;39;43,5;42,7;44,4;223;241,4;238,7;245,1
2021-10-12;alle;83;92,1;90,7;93,9;488;523,1;518,2;530,3
2021-10-12;ja;46;51,2;50,4;52,3;279;299,0;296,2;303,2
2021-10-12;nein;37;40,8;40,2;41,7;209;224,1;221,8;227,4
2021-10-11;alle;86;92,3;91,3;93,6;485;513,8;509,5;520,3
2021-10-11;ja;54;58,0;57,4;58,9;283;299,4;296,9;303,3
2021-10-11;nein;32;34,2;33,9;34,7;202;214,4;212,4;217,4
2021-10-10;alle;51;54,2;53,7;55,0;484;508,5;504,6;514,6
2021-10-10;ja;32;34,0;33,7;34,5;278;291,4;289,1;295,0
2021-10-10;nein;19;20,2;20,0;20,5;206;217,2;215,2;220,1
2021-10-09;alle;63;67,2;66,5;68,3;500;522,7;518,9;528,8
2021-10-09;ja;34;36,3;35,9;36,9;280;291,9;289,8;295,5
2021-10-09;nein;29;30,9;30,6;31,5;220;230,8;228,8;233,7
2021-10-08;alle;78;83,9;82,9;85,5;502;522,0;518,4;527,7
2021-10-08;ja;42;45,1;44,5;46,0;283;293,4;291,4;296,8
2021-10-08;nein;36;38,8;38,3;39,6;219;228,5;226,7;231,4
2021-10-07;alle;64;67,9;67,2;69,0;504;520,2;517,1;525,5
2021-10-07;ja;33;34,9;34,5;35,5;276;284,1;282,4;287,3
2021-10-07;nein;31;33,0;32,6;33,5;228;236,1;234,4;238,8
2021-10-06;alle;63;65,6;65,1;66,3;501;514,6;511,8;519,5
2021-10-06;ja;38;39,5;39,2;39,9;278;284,9;283,2;288,0
2021-10-06;nein;25;26,1;25,9;26,5;223;229,8;228,2;232,3
2021-10-05;alle;80;82,8;82,2;83,7;518;530,2;527,4;534,9
2021-10-05;ja;50;51,6;51,2;52,2;274;279,8;278,3;282,8
2021-10-05;nein;30;31,2;30,9;31,6;244;250,4;248,8;253,0
2021-10-04;alle;85;87,0;86,5;87,6;515;525,4;522,8;529,8
