date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr;F_est;F_lwr;F_upr
2021-11-07;alle;6;118,2;86,5;169,3;694;2009,4;1806,1;2295,6;NA;NA;NA
2021-11-07;ja;4;82,0;59,3;118,5;448;1321,4;1184,3;1517,0;0,0487872900252904;0,0674404746417118;0,0337446352604497
2021-11-07;nein;2;36,2;26,2;52,4;246;688,0;617,9;788,3;0,0552067561256903;0,0763990002289372;0,0381766723779892
2021-11-06;alle;24;200,8;157,9;264,3;816;2064,4;1879,6;2322,1;NA;NA;NA
2021-11-06;ja;13;113,2;88,2;150,1;523;1348,1;1222,5;1525,0;0,1148244992514556;0,1474397059234830;0,0866051339276949
2021-11-06;nein;11;87,6;68,4;116,1;293;716,3;651,1;809,5;0,1256023839622303;0,1608142430146763;0,0947329615670501
2021-11-05;alle;79;443,9;368,1;552,3;932;2056,5;1894,3;2279,9;NA;NA;NA
2021-11-05;ja;53;306,9;252,9;383,7;590;1347,6;1234,6;1503,9;0,1726987742919830;0,2095556683110493;0,1381271529085983
2021-11-05;nein;26;137,0;113,5;170,7;342;708,9;654,8;785,9;0,1897195247196192;0,2290242380565108;0,1522742063212024
2021-11-04;alle;115;410,0;355,1;488,9;1043;1887,4;1779,6;2039,2;NA;NA;NA
2021-11-04;ja;71;262,0;225,1;315,6;649;1206,9;1131,1;1311,1;0,2710302124310921;0,3154788515363066;0,2249708129318275
2021-11-04;nein;44;148,0;128,0;176,0;394;680,5;642,0;735,1;0,2972519124257020;0,3436517890123805;0,2500071400356034
2021-11-03;alle;159;335,0;305,9;373,1;1074;1684,8;1613,7;1781,2;NA;NA;NA
2021-11-03;ja;104;224,2;203,7;251,2;664;1070,0;1018,4;1137,8;0,4637911400575108;0,5105749668598113;0,4139322434222461
2021-11-03;nein;55;110,8;101,5;123,4;410;614,8;590,1;649,7;0,4964015677762102;0,5419911911367138;0,4457494218084513
2021-11-02;alle;173;304,8;284,6;331,2;1053;1526,1;1471,3;1600,2;NA;NA;NA
2021-11-02;ja;111;200,0;185,7;218,6;644;954,7;916,1;1006,2;0,5550221962773161;0,5977646580230378;0,5078100109782131
2021-11-02;nein;62;104,8;98,1;113,9;409;571,4;551,9;599,0;0,5914116486292817;0,6321462059168903;0,5444335308150694
2021-11-01;alle;138;196,6;187,8;207,7;1021;1396,2;1353,7;1454,4;NA;NA;NA
2021-11-01;ja;92;133,1;126,7;141,1;622;866,3;836,1;906,7;0,6914101774866522;0,7262700640427240;0,6518356711081987
2021-11-01;nein;46;63,5;60,8;67,0;399;529,9;514,1;552,4;0,7239438389127730;0,7561157112221185;0,6864826132218314
2021-10-31;alle;128;173,2;166,2;183,1;1036;1376,8;1337,6;1430,7;NA;NA;NA
2021-10-31;ja;79;108,8;103,9;115,5;624;842,9;815,5;879,9;0,7262720138522104;0,7603144259996480;0,6842162659654732
2021-10-31;nein;49;64,5;62,0;67,9;412;533,9;518,8;555,3;0,7601388070075165;0,7900295499919263;0,7216836652099277
2021-10-30;alle;140;192,9;184,7;204,1;1007;1316,8;1280,6;1366,1;NA;NA;NA
2021-10-30;ja;80;112,7;107,4;120,0;601;798,7;773,5;832,6;0,7101078227716145;0,7452065704004673;0,6664209356251002
2021-10-30;nein;60;80,2;76,9;84,7;406;518,1;504,0;538,0;0,7481635204337064;0,7798493252825314;0,7085118796858716
2021-10-29;alle;190;274,9;262,2;291,9;954;1224,8;1192,6;1268,5;NA;NA;NA
2021-10-29;ja;112;166,2;157,7;177,7;581;756,0;733,5;786,2;0,6738482229781745;0,7104294212545560;0,6302626366250985
2021-10-29;nein;78;108,7;103,9;115,2;373;468,9;456,5;486,1;0,7177751906491485;0,7505787678244884;0,6768747813694957
2021-10-28;alle;146;207,4;198,5;219,8;901;1112,4;1087,4;1146,9;NA;NA;NA
2021-10-28;ja;86;125,1;119,0;133,5;553;689,9;672,3;713,7;0,6875765117369732;0,7227375505509733;0,6442848935782942
2021-10-28;nein;60;82,3;78,8;87,2;348;422,4;412,6;436,1;0,7290259209123637;0,7609512379115243;0,6884530154286644
2021-10-27;alle;138;176,3;170,8;183,6;866;1034,7;1014,4;1062,7;NA;NA;NA
2021-10-27;ja;84;108,9;105,2;113,8;526;634,0;620,3;653,0;0,7713076246856029;0,7988491444654755;0,7382809572635678
2021-10-27;nein;54;67,4;65,4;70,2;340;400,6;392,5;411,9;0,8007164256127538;0,8261384469236248;0,7692751282610543
2021-10-26;alle;141;174,9;170,0;181,3;844;986,9;969,1;1011,8;NA;NA;NA
2021-10-26;ja;89;111,6;108,2;116,1;511;601,5;589,9;618,0;0,7971491627128208;0,8222760358653077;0,7664536795958894
2021-10-26;nein;52;63,3;61,5;65,6;333;385,4;378,2;395,6;0,8218794288237807;0,8452771895138704;0,7926375831346943
2021-10-25;alle;153;177,2;173,7;181,8;834;954,8;939,3;977,2;NA;NA;NA
2021-10-25;ja;94;109,7;107,3;112,7;484;557,3;547,7;571,3;0,8572049691680208;0,8763139946938256;0,8340144477945852
2021-10-25;nein;59;67,5;66,2;69,3;350;397,6;390,9;407,2;0,8737063407386406;0,8915181217948647;0,8512017581393890
2021-10-24;alle;99;113,2;111,0;116,3;796;899,3;885,7;919,3;NA;NA;NA
2021-10-24;ja;56;64,5;63,1;66,5;449;509,8;501,6;522,0;0,8681613220188185;0,8871188888180777;0,8423247990421822
2021-10-24;nein;43;48,7;47,7;50,0;347;389,5;383,4;398,5;0,8831383480297140;0,9005483851896450;0,8593519844920341
2021-10-23;alle;87;100,9;98,8;104,1;788;881,7;869,0;900,6;NA;NA;NA
2021-10-23;ja;60;70,0;68,3;72,3;443;497,7;490,1;509,1;0,8574880563610958;0,8780806795441926;0,8293081765456216
2021-10-23;nein;27;31,0;30,3;31,9;345;384,1;378,3;392,6;0,8716339311784491;0,8909419698940653;0,8451582429159039
2021-10-22;alle;137;162,4;158,5;168,2;768;851,3;839,7;868,9;NA;NA;NA
2021-10-22;ja;84;100,2;97,6;104,1;422;468,6;462,0;478,8;0,8385333273334574;0,8608512853948359;0,8072134476118984
2021-10-22;nein;53;62,2;60,7;64,4;346;382,7;377,2;391,0;0,8519261410677192;0,8731183031186401;0,8226417779995191
2021-10-21;alle;111;129,7;126,8;134,0;723;786,3;776,9;800,7;NA;NA;NA
2021-10-21;ja;59;69,2;67,6;71,6;398;431,7;426,6;440,0;0,8527731677483953;0,8732251798093128;0,8242073491084166
2021-10-21;nein;52;60,5;59,1;62,6;325;354,6;349,9;361,7;0,8592689146042068;0,8801028023416171;0,8305333960736399
2021-10-20;alle;116;128,6;126,6;131,3;704;753,3;745,2;765,8;NA;NA;NA
2021-10-20;ja;69;76,4;75,2;78,0;395;421,1;416,6;428,5;0,9030673986484208;0,9172512771925518;0,8842919703406233
2021-10-20;nein;47;52,2;51,3;53,4;309;332,2;328,2;338,3;0,9011022724752809;0,9168617284702326;0,8806101280921563
2021-10-19;alle;131;142,8;140,9;145,7;685;724,7;717,6;736,1;NA;NA;NA
2021-10-19;ja;62;67,4;66,5;68,7;383;403,1;399,2;410,0;0,9203206115670953;0,9328665618003723;0,9030664265555918
2021-10-19;nein;69;75,5;74,3;77,1;302;321,6;317,9;327,2;0,9141624464727410;0,9285781430044611;0,8945819639964526
2021-10-18;alle;115;121,6;120,4;123,3;640;670,1;664,2;680,0;NA;NA;NA
2021-10-18;ja;59;62,2;61,6;63,0;370;385,9;382,3;392,4;0,9489463704718228;0,9577796807818413;0,9360959749078241
2021-10-18;nein;56;59,5;58,8;60,4;270;284,3;281,3;289,0;0,9418812223150532;0,9524624506104616;0,9270810952921267
2021-10-17;alle;91;95,6;94,7;97,1;619;644,2;638,8;653,4;NA;NA;NA
2021-10-17;ja;50;52,4;51,9;53,2;370;383,6;380,2;390,1;0,9545126750946628;0,9637205936991542;0,9391900223280540
2021-10-17;nein;41;43,3;42,8;44,0;249;260,6;258,0;264,8;0,9477319953779175;0,9582332274505452;0,9316660728216112
2021-10-16;alle;67;70,6;69,8;71,8;583;604,6;599,7;613,0;NA;NA;NA
2021-10-16;ja;39;40,9;40,5;41,7;353;364,8;361,7;370,9;0,9532705981243876;0,9638575992525119;0,9341526731420660
2021-10-16;nein;28;29,6;29,3;30,2;230;239,8;237,4;243,6;0,9446772597107522;0,9562745982377785;0,9265995076450249
2021-10-15;alle;92;97,4;96,2;99,6;579;598,4;593,8;606,4;NA;NA;NA
2021-10-15;ja;60;63,3;62,4;65,0;346;356,5;353,6;362,4;0,9481733400943015;0,9611933306560342;0,9229776187652574
2021-10-15;nein;32;34,1;33,6;34,9;233;241,8;239,6;245,6;0,9382496379771206;0,9518979988446955;0,9164528368629744
2021-10-14;alle;92;96,6;95,6;98,6;570;586,1;582,1;593,4;NA;NA;NA
2021-10-14;ja;56;58,5;57,8;59,9;331;339,5;336,8;344,7;0,9566350204304139;0,9681730972316307;0,9349962982564315
2021-10-14;nein;36;38,1;37,6;39,0;239;246,7;244,6;250,4;0,9447158619336001;0,9575836063341213;0,9241469488143417
2021-10-13;alle;97;100,0;99,3;101,1;543;556,0;552,5;562,4;NA;NA;NA
2021-10-13;ja;57;58,5;58,1;59,2;309;315,7;313,4;320,3;0,9746661391843150;0,9815813411333879;0,9629498261810870
