KJ,KW,Variante,Anteil,KWKJ
2021,01,Alpha,0.021,2021-01
2021,01,Beta,0,2021-01
2021,01,Delta,0,2021-01
2021,01,Gamma,0,2021-01
2021,01,Omikron,0,2021-01
2021,02,Alpha,0.083,2021-02
2021,02,Beta,0.011000000000000001,2021-02
2021,02,Delta,0.002,2021-02
2021,02,Gamma,0,2021-02
2021,02,Omikron,0,2021-02
2021,03,Alpha,0.053,2021-03
2021,03,Beta,0.006999999999999999,2021-03
2021,03,Delta,0.002,2021-03
2021,03,Gamma,0,2021-03
2021,03,Omikron,0,2021-03
2021,04,Alpha,0.102,2021-04
2021,04,Beta,0.005,2021-04
2021,04,Delta,0,2021-04
2021,04,Gamma,0,2021-04
2021,04,Omikron,0,2021-04
2021,05,Alpha,0.172,2021-05
2021,05,Beta,0.008,2021-05
2021,05,Delta,0,2021-05
2021,05,Gamma,0,2021-05
2021,05,Omikron,0,2021-05
2021,06,Alpha,0.20600000000000002,2021-06
2021,06,Beta,0.006,2021-06
2021,06,Delta,0,2021-06
2021,06,Gamma,0.002,2021-06
2021,06,Omikron,0,2021-06
2021,07,Alpha,0.314,2021-07
2021,07,Beta,0.006,2021-07
2021,07,Delta,0,2021-07
2021,07,Gamma,0.002,2021-07
2021,07,Omikron,0,2021-07
2021,08,Alpha,0.43200000000000005,2021-08
2021,08,Beta,0.008,2021-08
2021,08,Delta,0,2021-08
2021,08,Gamma,0,2021-08
2021,08,Omikron,0,2021-08
2021,09,Alpha,0.52,2021-09
2021,09,Beta,0.018000000000000002,2021-09
2021,09,Delta,0,2021-09
2021,09,Gamma,0.002,2021-09
2021,09,Omikron,0,2021-09
2021,10,Alpha,0.637,2021-10
2021,10,Beta,0.018000000000000002,2021-10
2021,10,Delta,0,2021-10
2021,10,Gamma,0.001,2021-10
2021,10,Omikron,0,2021-10
2021,11,Alpha,0.738,2021-11
2021,11,Beta,0.012,2021-11
2021,11,Delta,0,2021-11
2021,11,Gamma,0.002,2021-11
2021,11,Omikron,0,2021-11
2021,12,Alpha,0.797,2021-12
2021,12,Beta,0.016,2021-12
2021,12,Delta,0.001,2021-12
2021,12,Gamma,0,2021-12
2021,12,Omikron,0,2021-12
2021,13,Alpha,0.867,2021-13
2021,13,Beta,0.013000000000000001,2021-13
2021,13,Delta,0,2021-13
2021,13,Gamma,0.002,2021-13
2021,13,Omikron,0,2021-13
2021,14,Alpha,0.884,2021-14
2021,14,Beta,0.019,2021-14
2021,14,Delta,0,2021-14
2021,14,Gamma,0.002,2021-14
2021,14,Omikron,0,2021-14
2021,15,Alpha,0.885,2021-15
2021,15,Beta,0.02,2021-15
2021,15,Delta,0.002,2021-15
2021,15,Gamma,0.002,2021-15
2021,15,Omikron,0,2021-15
2021,16,Alpha,0.909,2021-16
2021,16,Beta,0.009000000000000001,2021-16
2021,16,Delta,0.006999999999999999,2021-16
2021,16,Gamma,0.003,2021-16
2021,16,Omikron,0,2021-16
2021,17,Alpha,0.9,2021-17
2021,17,Beta,0.006999999999999999,2021-17
2021,17,Delta,0.013999999999999999,2021-17
2021,17,Gamma,0.01,2021-17
2021,17,Omikron,0,2021-17
2021,18,Alpha,0.8690000000000001,2021-18
2021,18,Beta,0.025,2021-18
2021,18,Delta,0.018000000000000002,2021-18
2021,18,Gamma,0.009000000000000001,2021-18
2021,18,Omikron,0,2021-18
2021,19,Alpha,0.888,2021-19
2021,19,Beta,0.013000000000000001,2021-19
2021,19,Delta,0.026000000000000002,2021-19
2021,19,Gamma,0.004,2021-19
2021,19,Omikron,0,2021-19
2021,20,Alpha,0.909,2021-20
2021,20,Beta,0.006999999999999999,2021-20
2021,20,Delta,0.031,2021-20
2021,20,Gamma,0.006999999999999999,2021-20
2021,20,Omikron,0,2021-20
2021,21,Alpha,0.907,2021-21
2021,21,Beta,0.006,2021-21
2021,21,Delta,0.036000000000000004,2021-21
2021,21,Gamma,0.008,2021-21
2021,21,Omikron,0,2021-21
2021,22,Alpha,0.8390000000000001,2021-22
2021,22,Beta,0.005,2021-22
2021,22,Delta,0.077,2021-22
2021,22,Gamma,0.01,2021-22
2021,22,Omikron,0,2021-22
2021,23,Alpha,0.727,2021-23
2021,23,Beta,0.004,2021-23
2021,23,Delta,0.182,2021-23
2021,23,Gamma,0.013999999999999999,2021-23
2021,23,Omikron,0,2021-23
2021,24,Alpha,0.514,2021-24
2021,24,Beta,0.011000000000000001,2021-24
2021,24,Delta,0.391,2021-24
2021,24,Gamma,0.013000000000000001,2021-24
2021,24,Omikron,0,2021-24
2021,25,Alpha,0.318,2021-25
2021,25,Beta,0.004,2021-25
2021,25,Delta,0.598,2021-25
2021,25,Gamma,0.011000000000000001,2021-25
2021,25,Omikron,0,2021-25
2021,26,Alpha,0.179,2021-26
2021,26,Beta,0.001,2021-26
2021,26,Delta,0.77,2021-26
2021,26,Gamma,0.016,2021-26
2021,26,Omikron,0,2021-26
2021,27,Alpha,0.11,2021-27
2021,27,Beta,0.001,2021-27
2021,27,Delta,0.846,2021-27
2021,27,Gamma,0.019,2021-27
2021,27,Omikron,0,2021-27
2021,28,Alpha,0.055999999999999994,2021-28
2021,28,Beta,0,2021-28
2021,28,Delta,0.922,2021-28
2021,28,Gamma,0.012,2021-28
2021,28,Omikron,0,2021-28
2021,29,Alpha,0.022000000000000002,2021-29
2021,29,Beta,0,2021-29
2021,29,Delta,0.968,2021-29
2021,29,Gamma,0,2021-29
2021,29,Omikron,0,2021-29
2021,30,Alpha,0.018000000000000002,2021-30
2021,30,Beta,0,2021-30
2021,30,Delta,0.975,2021-30
2021,30,Gamma,0.001,2021-30
2021,30,Omikron,0,2021-30
2021,31,Alpha,0.01,2021-31
2021,31,Beta,0,2021-31
2021,31,Delta,0.987,2021-31
2021,31,Gamma,0,2021-31
2021,31,Omikron,0,2021-31
2021,32,Alpha,0.004,2021-32
2021,32,Beta,0,2021-32
2021,32,Delta,0.992,2021-32
2021,32,Gamma,0.001,2021-32
2021,32,Omikron,0,2021-32
2021,33,Alpha,0.005,2021-33
2021,33,Beta,0,2021-33
2021,33,Delta,0.9940000000000001,2021-33
2021,33,Gamma,0,2021-33
2021,33,Omikron,0,2021-33
2021,34,Alpha,0.002,2021-34
2021,34,Beta,0,2021-34
2021,34,Delta,0.998,2021-34
2021,34,Gamma,0,2021-34
2021,34,Omikron,0,2021-34
2021,35,Alpha,0.001,2021-35
2021,35,Beta,0,2021-35
2021,35,Delta,0.998,2021-35
2021,35,Gamma,0,2021-35
2021,35,Omikron,0,2021-35
2021,36,Alpha,0,2021-36
2021,36,Beta,0,2021-36
2021,36,Delta,0.9990000000000001,2021-36
2021,36,Gamma,0,2021-36
2021,36,Omikron,0,2021-36
2021,37,Alpha,0,2021-37
2021,37,Beta,0,2021-37
2021,37,Delta,0.998,2021-37
2021,37,Gamma,0,2021-37
2021,37,Omikron,0,2021-37
2021,38,Alpha,0,2021-38
2021,38,Beta,0,2021-38
2021,38,Delta,0.9990000000000001,2021-38
2021,38,Gamma,0,2021-38
2021,38,Omikron,0,2021-38
2021,39,Alpha,0,2021-39
2021,39,Beta,0,2021-39
2021,39,Delta,1,2021-39
2021,39,Gamma,0,2021-39
2021,39,Omikron,0,2021-39
2021,40,Alpha,0,2021-40
2021,40,Beta,0,2021-40
2021,40,Delta,0.9990000000000001,2021-40
2021,40,Gamma,0,2021-40
2021,40,Omikron,0,2021-40
2021,41,Alpha,0,2021-41
2021,41,Beta,0,2021-41
2021,41,Delta,1,2021-41
2021,41,Gamma,0,2021-41
2021,41,Omikron,0,2021-41
2021,42,Alpha,0,2021-42
2021,42,Beta,0,2021-42
2021,42,Delta,1,2021-42
2021,42,Gamma,0,2021-42
2021,42,Omikron,0,2021-42
2021,43,Alpha,0,2021-43
2021,43,Beta,0,2021-43
2021,43,Delta,1,2021-43
2021,43,Gamma,0,2021-43
2021,43,Omikron,0,2021-43
2021,44,Alpha,0,2021-44
2021,44,Beta,0,2021-44
2021,44,Delta,1,2021-44
2021,44,Gamma,0,2021-44
2021,44,Omikron,0,2021-44
2021,45,Alpha,0,2021-45
2021,45,Beta,0,2021-45
2021,45,Delta,0.9990000000000001,2021-45
2021,45,Gamma,0,2021-45
2021,45,Omikron,0,2021-45
2021,46,Alpha,0,2021-46
2021,46,Beta,0,2021-46
2021,46,Delta,1,2021-46
2021,46,Gamma,0,2021-46
2021,46,Omikron,0,2021-46
2021,47,Alpha,0,2021-47
2021,47,Beta,0,2021-47
2021,47,Delta,0.997,2021-47
2021,47,Gamma,0,2021-47
2021,47,Omikron,0.002,2021-47
2021,48,Alpha,0,2021-48
2021,48,Beta,0,2021-48
2021,48,Delta,0.991,2021-48
2021,48,Gamma,0,2021-48
2021,48,Omikron,0.006999999999999999,2021-48
2021,49,Alpha,0,2021-49
2021,49,Beta,0,2021-49
2021,49,Delta,0.975,2021-49
2021,49,Gamma,0,2021-49
2021,49,Omikron,0.023,2021-49
2021,50,Alpha,0,2021-50
2021,50,Beta,0,2021-50
2021,50,Delta,0.9,2021-50
2021,50,Gamma,0,2021-50
2021,50,Omikron,0.095,2021-50
2021,51,Alpha,0,2021-51
2021,51,Beta,0,2021-51
2021,51,Delta,0.772,2021-51
2021,51,Gamma,0,2021-51
2021,51,Omikron,0.21600000000000003,2021-51
2021,52,Alpha,0,2021-52
2021,52,Beta,0,2021-52
2021,52,Delta,0.46,2021-52
2021,52,Gamma,0,2021-52
2021,52,Omikron,0.5329999999999999,2021-52
2022,01,Alpha,0,2022-01
2022,01,Beta,0,2022-01
2022,01,Delta,0.299,2022-01
2022,01,Gamma,0,2022-01
2022,01,Omikron,0.693,2022-01
2022,02,Alpha,0,2022-02
2022,02,Beta,0,2022-02
2022,02,Delta,0.122,2022-02
2022,02,Gamma,0,2022-02
2022,02,Omikron,0.867,2022-02
2022,03,Alpha,0,2022-03
2022,03,Beta,0,2022-03
2022,03,Delta,0.04,2022-03
2022,03,Gamma,0,2022-03
2022,03,Omikron,0.9540000000000001,2022-03
2022,04,Alpha,0,2022-04
2022,04,Beta,0,2022-04
2022,04,Delta,0.017,2022-04
2022,04,Gamma,0,2022-04
2022,04,Omikron,0.978,2022-04
2022,05,Alpha,0,2022-05
2022,05,Beta,0,2022-05
2022,05,Delta,0.006999999999999999,2022-05
2022,05,Gamma,0,2022-05
2022,05,Omikron,0.9840000000000001,2022-05
2022,06,Alpha,0,2022-06
2022,06,Beta,0,2022-06
2022,06,Delta,0.003,2022-06
2022,06,Gamma,0,2022-06
2022,06,Omikron,0.981,2022-06
2022,07,Alpha,0,2022-07
2022,07,Beta,0,2022-07
2022,07,Delta,0.001,2022-07
2022,07,Gamma,0,2022-07
2022,07,Omikron,0.975,2022-07
2022,08,Alpha,0,2022-08
2022,08,Beta,0,2022-08
2022,08,Delta,0.001,2022-08
2022,08,Gamma,0,2022-08
2022,08,Omikron,0.993,2022-08
2022,09,Alpha,0,2022-09
2022,09,Beta,0,2022-09
2022,09,Delta,0,2022-09
2022,09,Gamma,0,2022-09
2022,09,Omikron,0.97,2022-09
