Bundesland,Altersgruppe,Meldedatum,Kalenderjahr,Kalenderwoche,Neuerkrankung,Hospitalisierung,index,population
Baden-Wuerttemberg,00-04,2020-01-05,2020,1,0,0,1,549986
Baden-Wuerttemberg,05-14,2020-01-05,2020,1,0,0,1,1014378
Baden-Wuerttemberg,15-34,2020-01-05,2020,1,0,0,1,2678250
Baden-Wuerttemberg,35-59,2020-01-05,2020,1,0,0,1,3822725
Baden-Wuerttemberg,60-79,2020-01-05,2020,1,0,0,1,2286835
Baden-Wuerttemberg,80+,2020-01-05,2020,1,0,0,1,751989
Bayern,00-04,2020-01-05,2020,1,0,0,1,650503
Bayern,05-14,2020-01-05,2020,1,0,0,1,1157241
Bayern,15-34,2020-01-05,2020,1,0,0,1,3103465
Bayern,35-59,2020-01-05,2020,1,0,0,1,4601435
Bayern,60-79,2020-01-05,2020,1,0,0,1,2743938
Bayern,80+,2020-01-05,2020,1,0,0,1,871866
Berlin,00-04,2020-01-05,2020,1,0,0,1,191397
Berlin,05-14,2020-01-05,2020,1,0,0,1,332599
Berlin,15-34,2020-01-05,2020,1,0,0,1,947650
Berlin,35-59,2020-01-05,2020,1,0,0,1,1275540
Berlin,60-79,2020-01-05,2020,1,0,0,1,694774
Berlin,80+,2020-01-05,2020,1,0,0,1,221362
Brandenburg,00-04,2020-01-05,2020,1,0,0,1,108401
Brandenburg,05-14,2020-01-05,2020,1,0,0,1,231502
Brandenburg,15-34,2020-01-05,2020,1,0,0,1,435611
Brandenburg,35-59,2020-01-05,2020,1,0,0,1,908807
Brandenburg,60-79,2020-01-05,2020,1,0,0,1,638658
Brandenburg,80+,2020-01-05,2020,1,0,0,1,208572
Bremen,00-04,2020-01-05,2020,1,0,0,1,34034
Bremen,05-14,2020-01-05,2020,1,0,0,1,60178
Bremen,15-34,2020-01-05,2020,1,0,0,1,172904
Bremen,35-59,2020-01-05,2020,1,0,0,1,225427
Bremen,60-79,2020-01-05,2020,1,0,0,1,140249
Bremen,80+,2020-01-05,2020,1,0,0,1,47379
Hamburg,00-04,2020-01-05,2020,1,0,0,1,99224
Hamburg,05-14,2020-01-05,2020,1,0,0,1,166713
Hamburg,15-34,2020-01-05,2020,1,0,0,1,493650
Hamburg,35-59,2020-01-05,2020,1,0,0,1,654824
Hamburg,60-79,2020-01-05,2020,1,0,0,1,325912
Hamburg,80+,2020-01-05,2020,1,0,0,1,112515
Hessen,00-04,2020-01-05,2020,1,0,0,1,304428
Hessen,05-14,2020-01-05,2020,1,0,0,1,579964
Hessen,15-34,2020-01-05,2020,1,0,0,1,1469929
Hessen,35-59,2020-01-05,2020,1,0,0,1,2193749
Hessen,60-79,2020-01-05,2020,1,0,0,1,1320559
Hessen,80+,2020-01-05,2020,1,0,0,1,422139
Mecklenburg-Vorpommern,00-04,2020-01-05,2020,1,0,0,1,66216
Mecklenburg-Vorpommern,05-14,2020-01-05,2020,1,0,0,1,140750
Mecklenburg-Vorpommern,15-34,2020-01-05,2020,1,0,0,1,295487
Mecklenburg-Vorpommern,35-59,2020-01-05,2020,1,0,0,1,554265
Mecklenburg-Vorpommern,60-79,2020-01-05,2020,1,0,0,1,420800
Mecklenburg-Vorpommern,80+,2020-01-05,2020,1,0,0,1,133378
Niedersachsen,00-04,2020-01-05,2020,1,0,0,1,380629
Niedersachsen,05-14,2020-01-05,2020,1,0,0,1,724185
Niedersachsen,15-34,2020-01-05,2020,1,0,0,1,1803724
Niedersachsen,35-59,2020-01-05,2020,1,0,0,1,2728615
Niedersachsen,60-79,2020-01-05,2020,1,0,0,1,1769714
Niedersachsen,80+,2020-01-05,2020,1,0,0,1,580572
Nordrhein-Westfalen,00-04,2020-01-05,2020,1,0,0,1,875319
Nordrhein-Westfalen,05-14,2020-01-05,2020,1,0,0,1,1649725
Nordrhein-Westfalen,15-34,2020-01-05,2020,1,1,0,1,4197591
