Impfdatum,Impfschutz,Bundesland,population,Anzahl
2021-01-02,2,Baden-Wuerttemberg,11104163,6
2021-01-02,2,Hessen,6290768,7
2021-01-02,2,Mecklenburg-Vorpommern,1610896,60
2021-01-02,2,Nordrhein-Westfalen,17949911,5
2021-01-04,2,Nordrhein-Westfalen,17949911,62
2021-01-04,2,Sachsen,4061968,48
2021-01-05,2,Mecklenburg-Vorpommern,1610896,9
2021-01-05,2,Nordrhein-Westfalen,17949911,8
2021-01-05,2,Sachsen,4061968,59
2021-01-06,2,Sachsen,4061968,81
2021-01-07,2,Brandenburg,2531551,165
2021-01-07,2,Rheinland-Pfalz,4100019,8
2021-01-07,2,Sachsen,4061968,11
2021-01-08,2,Hessen,6290768,11
2021-01-08,2,Nordrhein-Westfalen,17949911,86
2021-01-09,2,Nordrhein-Westfalen,17949911,33
2021-01-09,2,Rheinland-Pfalz,4100019,5
2021-01-09,2,Sachsen,4061968,99
2021-01-10,2,Sachsen,4061968,103
2021-01-11,2,Baden-Wuerttemberg,11104163,6
2021-01-11,2,Hamburg,1852838,36
2021-01-11,2,Nordrhein-Westfalen,17949911,58
2021-01-12,2,Berlin,3663322,7
2021-01-12,2,Nordrhein-Westfalen,17949911,34
2021-01-12,2,Rheinland-Pfalz,4100019,14
2021-01-13,2,Bayern,13128448,5
2021-01-13,2,Hessen,6290768,5
2021-01-13,2,Nordrhein-Westfalen,17949911,176
2021-01-14,2,Baden-Wuerttemberg,11104163,128
2021-01-14,2,Berlin,3663322,5
2021-01-14,2,Nordrhein-Westfalen,17949911,36
2021-01-14,2,Sachsen,4061968,33
2021-01-15,2,Baden-Wuerttemberg,11104163,380
2021-01-15,2,Bayern,13128448,133
2021-01-15,2,Nordrhein-Westfalen,17949911,283
2021-01-15,2,Rheinland-Pfalz,4100019,11
2021-01-15,2,Sachsen-Anhalt,2187748,117
2021-01-16,2,Baden-Wuerttemberg,11104163,135
2021-01-16,2,Bayern,13128448,185
2021-01-16,2,Nordrhein-Westfalen,17949911,769
2021-01-16,2,Sachsen-Anhalt,2187748,99
2021-01-17,2,Baden-Wuerttemberg,11104163,2153
2021-01-17,2,Bayern,13128448,2553
2021-01-17,2,Berlin,3663322,1950
2021-01-17,2,Bremen,680171,72
2021-01-17,2,Hamburg,1852838,426
2021-01-17,2,Hessen,6290768,1886
2021-01-17,2,Niedersachsen,7987439,364
2021-01-17,2,Nordrhein-Westfalen,17949911,6115
2021-01-17,2,Rheinland-Pfalz,4100019,698
2021-01-17,2,Saarland,984937,165
2021-01-17,2,Sachsen,4061968,138
2021-01-17,2,Sachsen-Anhalt,2187748,508
2021-01-18,2,Baden-Wuerttemberg,11104163,2003
2021-01-18,2,Bayern,13128448,2952
2021-01-18,2,Berlin,3663322,2077
2021-01-18,2,Brandenburg,2531551,118
2021-01-18,2,Bremen,680171,333
2021-01-18,2,Hamburg,1852838,313
2021-01-18,2,Hessen,6290768,1279
2021-01-18,2,Mecklenburg-Vorpommern,1610896,866
2021-01-18,2,Niedersachsen,7987439,479
2021-01-18,2,Nordrhein-Westfalen,17949911,1049
2021-01-18,2,Rheinland-Pfalz,4100019,692
2021-01-18,2,Saarland,984937,642
2021-01-18,2,Sachsen,4061968,382
2021-01-18,2,Sachsen-Anhalt,2187748,1646
2021-01-18,2,Schleswig-Holstein,2909428,632
2021-01-18,2,Thueringen,2117352,154
2021-01-19,2,Baden-Wuerttemberg,11104163,3174
2021-01-19,2,Bayern,13128448,7833
2021-01-19,2,Berlin,3663322,2730
2021-01-19,2,Brandenburg,2531551,1007
2021-01-19,2,Bremen,680171,327
2021-01-19,2,Hamburg,1852838,431
2021-01-19,2,Hessen,6290768,4957
2021-01-19,2,Mecklenburg-Vorpommern,1610896,912
2021-01-19,2,Niedersachsen,7987439,778
2021-01-19,2,Nordrhein-Westfalen,17949911,8700
2021-01-19,2,Rheinland-Pfalz,4100019,840
2021-01-19,2,Saarland,984937,649
2021-01-19,2,Sachsen,4061968,919
2021-01-19,2,Sachsen-Anhalt,2187748,2027
2021-01-19,2,Schleswig-Holstein,2909428,426
2021-01-19,2,Thueringen,2117352,259
2021-01-20,2,Baden-Wuerttemberg,11104163,4288
2021-01-20,2,Bayern,13128448,14254
2021-01-20,2,Berlin,3663322,3211
2021-01-20,2,Brandenburg,2531551,1301
2021-01-20,2,Bremen,680171,526
2021-01-20,2,Hamburg,1852838,715
2021-01-20,2,Hessen,6290768,5823
2021-01-20,2,Mecklenburg-Vorpommern,1610896,1298
2021-01-20,2,Niedersachsen,7987439,1199
2021-01-20,2,Nordrhein-Westfalen,17949911,15662
2021-01-20,2,Rheinland-Pfalz,4100019,873
2021-01-20,2,Saarland,984937,635
2021-01-20,2,Sachsen,4061968,1309
2021-01-20,2,Sachsen-Anhalt,2187748,1839
2021-01-20,2,Schleswig-Holstein,2909428,93
2021-01-20,2,Thueringen,2117352,784
2021-01-21,2,Baden-Wuerttemberg,11104163,4097
2021-01-21,2,Bayern,13128448,11839
2021-01-21,2,Berlin,3663322,2505
2021-01-21,2,Brandenburg,2531551,371
2021-01-21,2,Bremen,680171,526
2021-01-21,2,Hamburg,1852838,685
2021-01-21,2,Hessen,6290768,4828
2021-01-21,2,Mecklenburg-Vorpommern,1610896,483
2021-01-21,2,Niedersachsen,7987439,775
2021-01-21,2,Nordrhein-Westfalen,17949911,10785
2021-01-21,2,Rheinland-Pfalz,4100019,637
2021-01-21,2,Saarland,984937,591
2021-01-21,2,Sachsen,4061968,769
2021-01-21,2,Sachsen-Anhalt,2187748,1407
2021-01-21,2,Schleswig-Holstein,2909428,158
2021-01-21,2,Thueringen,2117352,433
2021-01-22,2,Baden-Wuerttemberg,11104163,3692
2021-01-22,2,Bayern,13128448,10794
2021-01-22,2,Berlin,3663322,2155
2021-01-22,2,Brandenburg,2531551,124
2021-01-22,2,Bremen,680171,7
2021-01-22,2,Hamburg,1852838,650
2021-01-22,2,Hessen,6290768,3611
2021-01-22,2,Mecklenburg-Vorpommern,1610896,282
2021-01-22,2,Niedersachsen,7987439,466
2021-01-22,2,Nordrhein-Westfalen,17949911,9570
2021-01-22,2,Rheinland-Pfalz,4100019,291
2021-01-22,2,Saarland,984937,556
2021-01-22,2,Sachsen,4061968,337
2021-01-22,2,Sachsen-Anhalt,2187748,701
2021-01-22,2,Schleswig-Holstein,2909428,197
2021-01-22,2,Thueringen,2117352,56
2021-01-23,2,Baden-Wuerttemberg,11104163,4356
2021-01-23,2,Bayern,13128448,13116
2021-01-23,2,Berlin,3663322,1417
2021-01-23,2,Bremen,680171,17
2021-01-23,2,Hamburg,1852838,437
2021-01-23,2,Hessen,6290768,4570
2021-01-23,2,Mecklenburg-Vorpommern,1610896,119
2021-01-23,2,Niedersachsen,7987439,975
2021-01-23,2,Nordrhein-Westfalen,17949911,19311
2021-01-23,2,Rheinland-Pfalz,4100019,175
2021-01-23,2,Saarland,984937,800
2021-01-23,2,Sachsen,4061968,303
2021-01-23,2,Sachsen-Anhalt,2187748,750
2021-01-23,2,Schleswig-Holstein,2909428,5
2021-01-23,2,Thueringen,2117352,160
2021-01-24,2,Baden-Wuerttemberg,11104163,3752
2021-01-24,2,Bayern,13128448,6859
2021-01-24,2,Berlin,3663322,859
2021-01-24,2,Bremen,680171,68
